,TEC,Real Center,Trompo Mágico,Catedral de GDL,Basílica Zapopan,Parque Colomos,San Juan de Dios,Selva Mágica,Zoo GDL,Acuario Michin,El Diente,Plaza Galerías,Barranca Huentitán,Andares,Gran Plaza,Parque Metropolitano,Estadio Akron,Estadio Charros,Arena Astros,Plaza Patria,Chapultepec,Glorieta Minerva,Parque Rojo,Teatro Degollado,Biblioteca Juan José Arreola,Bosque Primavera,MUSA,Museo Cera,Museo de Arte de Zapopan,Lunaria,Museo de Paleontología,Estadio Jalisco,Parque Alcalde,,
TEC,0,2.6,3.6,17.8,7.6,8.8,19.2,17.9,18,16.5,12.3,8.3,26.8,9.1,10.8,8.3,6.2,10.6,12.8,11.8,15.1,12.6,17.4,19.1,9.7,30,16.2,19.1,7.9,16.5,18.6,17.5,15.9,,
Real Center,2.6,0,0.95,14.8,4.5,5.8,15.8,15.3,15.3,12,10,9.5,24.2,5.1,9.9,9.5,7.9,5.3,8.8,7.7,12.7,9.7,13.1,14.8,6.7,31,12.8,14.8,4.8,12.1,15.5,13.7,11.5,,
Trompo Mágico,3.8,1.4,0,15.6,5,6.3,16.7,14.4,14.4,12.9,11.4,7.3,23.2,5.5,8.4,7.3,7.8,7.1,9.3,8.2,13.2,10.2,14,15.7,7.6,30,13.6,17.9,5.7,13,18.6,13.9,12.3,,
Catedral de GDL,16.7,14.1,13.5,0,9.1,7.3,2.1,7.1,7.2,2.1,16.7,10.2,13.2,10.6,7.2,10.2,15.2,8.4,5.5,6.4,2.9,5.3,1.4,0.28,9.5,29,1.4,0.28,7.8,2.7,2.7,4.2,1.7,,
Basílica Zapopan,9.2,4.5,5.7,9.4,0,3,10.3,10.5,10.6,6.7,10.3,9.2,19.4,3.3,8.8,8.9,12.4,1.5,3.2,2.3,7.3,7,7.8,9.4,2.7,30.7,7.4,9.4,0.35,6.7,10,7.9,6.1,,
Parque Colomos,10.3,7.5,7.3,8.5,3.1,0,9.5,11.8,11.9,6.4,12.7,7.4,18.9,4.3,6.3,7.6,12.4,4,3.7,2.7,5.9,3.9,6.9,8.9,5.2,29.3,6.6,8.9,3.1,7.4,9.4,8.3,6.2,,
San Juan de Dios,18.1,15.1,14.8,1.8,10.3,9.2,0,6.6,6.6,3.5,18,11.6,12.4,11.9,8.5,11.7,16.6,9.6,6.8,7.7,4.3,6.2,2.8,1.6,10.8,30.4,2.8,1.5,9.1,3.2,3.1,3.9,3.1,,
Selva Mágica,17.5,13.4,14.5,7.5,11.4,11.1,7.6,0,0.035,7.2,14.6,19.5,11.1,15,14.3,19.6,20.6,9,8.7,9.2,10,12.5,8.5,7.2,9.9,36.1,8.5,7.2,10.7,6.1,8.8,3.2,6.8,,
Zoo GDL,17.8,13.7,14.7,7.8,11.7,11.4,7.9,0.035,0,7.5,14.9,19.1,11.4,13.6,14.5,19.8,20.9,9.3,8.7,9.5,10.2,12.7,8.8,7.5,10.2,38,8.8,7.5,10.9,6.3,9.1,3.4,7.1,,
Acuario Michin,14.5,11.8,11.5,3.2,6.2,5,4.4,7.2,7.2,0,14.5,11.6,13.9,8.5,8.2,11.3,16.6,6.4,3.5,4.9,4.2,5.7,2.7,3.2,7.6,30.8,2.7,3.2,5.8,1.8,4.4,3.7,0.65,,
El Diente,12.1,9.5,10.7,18.8,9.6,12.3,19.8,15.1,14.6,16.1,0,17.6,24.8,12.2,17.9,17.6,17.2,9.1,13,11.5,16.7,16.5,17.2,18.8,8.9,39.1,16.8,18.8,9.6,15.8,19.4,15.5,15.5,,
Plaza Galerías,8.4,7.9,7.3,11.1,9.9,6.9,12.4,17.4,19.7,11.3,17.6,0,30.4,6.3,4.3,0.85,7,12.1,11,9.9,8.7,5.8,9.8,12.4,12.7,22.4,9.4,12.4,10.6,12.7,11.1,14.7,11.1,,
Barranca Huentitán,26.1,21.9,23,13.5,20,19.7,11.7,9.5,9.4,13.6,23.2,30,0,20.6,24.2,30,30.9,17.6,17.3,17.8,16,18.6,14.5,13.3,18.5,46.3,14.5,13.2,17.9,12.4,14.7,12.1,13.2,,
Andares,8,5.4,5,12.3,4.9,3,13.4,15,15.1,9.5,13.2,6.6,23,0,6.9,6.8,11.5,7.1,6,4.9,8.9,6.9,10.7,12.1,8.3,28.6,10.3,12.1,5.6,9.7,12.9,10.9,9,,
Gran Plaza,10.8,9.3,8.7,7.1,8.6,5.2,8.4,14.8,14.1,7.3,19.2,4.4,24.7,6.2,0,4.4,9.4,10.2,8.5,7.1,4.2,8.8,5.8,7.9,12.5,25.3,5.4,7.9,9.7,8.7,7,10.7,7.1,,
Parque Metropolitano,8.4,9.9,7.6,11.4,10.7,7.2,12.8,20,17.7,11.6,17.9,1.2,30.3,7.2,4.7,0,6.9,13,11.8,10.8,9.1,6.1,10.1,12.7,14.2,21.8,9.7,12.7,10.8,14.6,11.9,15.7,11.4,,
Estadio Akron,6,7.9,8.5,16.9,13.4,10.3,17.4,21.3,21.4,16.3,18.6,6.3,30.2,9.4,9.3,6.3,0,14,15.2,14.1,13.7,10.8,14.7,17.8,14.5,21.9,14.4,17.7,12.9,18.9,17.3,20.9,16.1,,
Estadio Charros,10.1,5.2,7.1,9.7,1.5,3.7,10.9,8.5,8.5,7.3,9.3,11.3,18.4,5.9,11.1,11.5,13.3,0,2.7,2.7,8,7.7,8.3,9.8,1.8,33.2,8,10,1.4,7.4,10.6,8.5,6.7,,
Arena Astros,12.7,8.8,8.6,6.6,3.2,3.5,7.9,8.9,8.9,4.1,11.4,11.1,15.7,5.7,7.9,11.3,14.8,2.8,0,1.5,6.1,5.4,5.2,6.9,4.7,30,4.8,6.8,2.9,4.2,7.4,5.4,3.5,,
Plaza Patria,11.8,7.2,8.8,8.2,2.7,3.6,9.2,9.2,9.6,5.5,11.3,11.2,18.4,5.8,9.3,11.4,16.6,3,1.4,0,7.1,14.9,6.6,8,4.8,31.4,6.2,8,2.8,5.6,8.8,5.9,4.9,,
Chapultepec,15.2,13.5,12.9,3.4,7.2,5.8,5.5,10.4,10.5,4.4,16.6,8.2,16.6,9.3,4.6,8.2,13.9,7.8,6,5.6,0,2.4,2.1,4.1,9,26.1,1.8,4.1,7.3,5.8,3.4,7.5,4.2,,
Glorieta Minerva,12.5,9.8,10.3,5.3,6.4,4.1,6.6,11.6,11.6,5.3,17.3,6.1,17.7,6.5,9,6.1,11.1,7.4,5.7,13.7,2.4,0,3.5,6.1,8.6,24.8,3.1,6.1,6.9,6.9,5.3,8.8,5.1,,
Parque Rojo,16.1,14.1,13.5,1.3,8.4,7,3.2,8.3,8.3,2.2,17.1,9.7,14.4,10.5,6.6,9.7,14.7,8.4,5.8,6.4,2.3,4.9,0,1.4,9.5,28.2,0.85,1.4,7.8,3.7,2.6,5.4,2,,
Teatro Degollado,16.7,14.3,13.7,0.28,8.9,7.5,1.6,7,7,2.3,16.8,11.3,13.1,10.7,8.3,11.4,16.3,8.5,5.6,6.6,3.8,6.6,1.8,0,9.7,30.1,1.9,1.2,7.9,2.5,2.9,4.1,1.9,,
Biblioteca Juan José Arreola,11.1,7.2,8.1,11.4,3.5,5.3,12.7,8.7,8.8,8.9,8.3,13,17.6,7.5,12.7,13.1,16.2,2.5,5.1,4.6,9.6,9.4,10,11.7,0,34.8,9.7,11.7,2.7,8.6,12.3,8.3,8.4,,
Bosque Primavera,28,31.5,30.9,29.5,31.5,28.8,31.3,37.7,36.3,30.2,41.2,22.5,52.7,28.2,25.3,22,22,33.3,31,30,26.7,26.1,27.9,29.5,34.4,0,27.5,29.4,31.6,31.6,28.6,33.5,30,,
MUSA,15.3,13.2,12.6,1.7,7.8,6.3,3.5,8.7,8.7,2.6,16.7,8.8,14.8,9.9,5.8,8.8,13.8,7.9,5,6,1.5,4,0.35,1.8,9.1,27.6,0,1.7,7.3,4,2.9,5.8,2.4,,
Museo Cera,16.9,15.1,14.5,0.28,9.4,8,1.8,7.5,7.5,2.7,18.1,10.4,13.6,11.5,7.4,10.4,15.4,9.3,6.5,7.4,3.1,5.6,1.5,0.7,10.1,29.2,1.6,0,8.8,3.2,2.4,4.7,2.3,,
Museo de Arte de Zapopan,9.8,4.9,6.1,9.6,0.4,3,10.9,11.4,11.4,7.2,10.4,9.3,18.8,3.9,9.5,9.5,13.5,2.3,3.5,2.5,7.2,7,8.3,9.9,3.4,31.3,7.9,9.9,0,7.2,10.5,8.1,6.6,,
Lunaria,14.5,12.1,11.5,4,7.1,6.1,5.3,7.1,7.1,1.7,14.7,12.4,13.9,8.6,9.3,12.4,17.7,6.4,3.5,4.4,5.1,6.4,3.5,4.4,7.6,31.2,3.6,4.4,5.8,0,5.7,2.8,1.1,,
